Id,highlighted,text,tags,prefix,suffix,position_start,position_end,start_container,end_container,chapter
aMO2yMojEeyvMU8wyY3V6A,Discords,"Disagreement or disharmony between people, things, or music. In his chapters, Ilya tells the story of his troubles with the hunters. More generally, this translation of the original title (Zaitil'shchina, The Epic Tale Beyond the Itil') might also refer to the confluence and disharmony between the various narrative voices in the novel: Ilya's letter, the chapters concerning Yakov's life and thoughts, and Yakov's poetry. ",['language']," 
      

      
        
  01. "," Beyond the Itil
  
  The moonth",622,630,/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],01. DISCORDS BEYOND THE ITIL
me6QtsoiEey_45fS-DrJyA,Discords Beyond the Itil,"The title that Ilya gives to his missive to Pozhilykh. Its name echoes that of the *Zadonschina*, a Russian manuscript of late 14th century, about the Battle of Kulikovo (1380) between Russians and Mongols. The contents of Ilya's letters concern the events related to his life and death that occur ""beyond the Itil River."" In this way, the story Ilya tells Pozhilykh becomes a real epic poem.",['intertextuality']," 
      

      
        
  01. ","
  
  The moonth’s clear, no cat",622,646,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],01. DISCORDS BEYOND THE ITIL
6B9WWMoiEeycHduKLUb92A,Itil,"A Turkic (Khazar) name for the Volga River, specifically the lower course of the Volga from the mouth to the confluence with the Kama, the section of the Kama to the confluence with the White, and the entire course of the White.","['location', 'Russia', 'language']","     
  01. Discords Beyond the ","
  
  The moonth’s clear, no cat",642,646,/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1]/hypothesis-highlight[1],01. DISCORDS BEYOND THE ITIL
aZVo9sogEeyuASe80ymatQ,moonth’s clear,"A combination of ""moon"" and ""month."" This expression hides a double meaning, as the word ""mesiats"" may mean both ""moon"" and ""month"" in Russian. The author is at once suggesting that ""the month is clear"" (a rather indeterminate time setting) and that ""the moon shines"".",['language'],"scords Beyond the Itil
  
  The ",", no catchin up with the dates, ",656,670,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. DISCORDS BEYOND THE ITIL
UwanZsohEeynRifAk5SJxA,no catchin up with the dates,"Typical sample of Sokolov's non-linear conception of time (see, for instance, R.C. Borden, ""Time, backward!: Sasha Sokolov and Valentin Kataev,"" in *CASS* 21 (3-4) 1987, 247-263, *A School for Fools*, and Palisandriia. Классический пример нелинеарного восприятия времени (см., например, с критической точки зрения, R.C. Borden, Time, backward!: Sasha Sokolov and Valentin Kataev, in CASS 21 (3-4) 1987, 247-263, и Школа для дураков / Палисандрия).",[],"e Itil
  
  The moonth’s clear, ",", the 
year’s current. To Citize",672,700,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. DISCORDS BEYOND THE ITIL
-kdzqMogEey375dScSgH1w,catchin,Translator Alexander Boguslawski has rendered the voice of Ilya in this colloquial manner to approximate the original Russian narration's style.,"['language', 'character']","til
  
  The moonth’s clear, no "," up with the dates, the 
year’s ",675,682,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. DISCORDS BEYOND THE ITIL
hT0BTsohEeyyfIuPzxazOg,Citizen,"Sokolov avoids using the most common Soviet appellative ""comrade"" opting for a rather general, but still evocative word: ""citizen"" (grazhdanin). This word evokes the poem ""Poet and Citizen"" by the 19th-c Nikolai Nekrasov.","['language', 'intertextuality']"," dates, the 
year’s current. To "," Sidor Fomich Pozhilykh, 
with a",726,733,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. DISCORDS BEYOND THE ITIL
zyZ_GsohEeyTG6NBY_V77Q,Sidor Fomich,"Sidor (shortened form of Isidor), son of Foma",[],"the 
year’s current. To Citizen "," Pozhilykh, 
with all due respec",734,746,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. DISCORDS BEYOND THE ITIL
xNEqfsohEeyLLwvxKr9HTw,Pozhilykh,"An unusual surname, which does not permit standard declension. It literally means ""elderly.""","['character', 'language']",urrent. To Citizen Sidor Fomich ,", 
with all due respect, Ilya Pe",747,756,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. DISCORDS BEYOND THE ITIL
JVTJPMoiEeyHvl80S2J5Tw,Zynzyrela’s,"Again an unusual last name (which is printed in more than ten different versions in the book). It carries allusions to Cinderella. Ilya, who is missing a leg, is associated with footwear. (see L. Toker's essay, ""Gamesman's Sketches (Found in a Bottle),"" CASS 21.3-4: 356)","['language', 'character', 'symbols']","ll due respect, Ilya Petrikeich ", Discords Beyond the Itil. With ,797,808,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. DISCORDS BEYOND THE ITIL
