Id,highlighted,text,tags,prefix,suffix,position_start,position_end,start_container,end_container,chapter
iEa58ghCEe22U4P2dx87Yw,Дзындзырэлы,"Again, an usual last name (which is printed in more than ten different versions in the book). It carries allusions to Cinderella (see L. Toker's essay, ""Gamesman's Sketches (Found in a Bottle),"" CASS 21.3-4: 356). Еще одна необычная фамилия (которая встречается и в других графических-орфографических вариантов дальше в тексте). Намекается на сказку Золушки (по-английски Cinderella; cм. L. Toker, ""Gamesman's Sketches (Found in a Bottle),"" CASS 21.3-4: 356).","['character', 'symbol']","    
        
  04. Заитильщина ","
  
  Это Петр, грамотей один сл",634,645,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],04. Заитильщина Дзындзырэлы
JaIVtAmeEe2ldLs8HjzuaQ,Петр,"In the gospels Peter (and his brother Andrew) was invited by Jesus to become a ""fisher of men""","['character', 'intertextuality']","аитильщина Дзындзырэлы
  
  Это ",", грамотей один слободской, пове",655,659,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
oadXDARqEe2sYpvOc1WtbA,грамотей,Colloquial: smart aleck,['register/style'],"щина Дзындзырэлы
  
  Это Петр, "," один слободской, повез что-то в",661,669,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
fjYYngRqEe2pHBtkElwP2g,слободской,"In ancient Russia, a sloboda referred to a settlement found in Povolzhye, Central Russia, Belarus, or Ukraine. The term is derived from the word for freedom. These tax-free settlements came to an end in the early eighteenth century when the practice was abolished and the settlements became regular villages. Often these suburbs were eventually subsumed by nearby cities. Today, sloboda refers to a rural locality various oblasts.","['Russia', 'explanatory', 'location']","лы
  
  Это Петр, грамотей один ",", повез что-то в город — 
продав",675,685,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
-GyWzgRqEe2voefQMFyqtw,отошел я на промысел,He find seasonal jobs. Занимается сезонной работой.,['explanatory'],"шь на таком расстоянии: далеко 
",", да и лампа моя штормовая не сл",777,797,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
GeYi1ARrEe2y1idDLF7nLA,фурычит,"Colloquial: function, work, do its thing",['register/style'], лампа моя штормовая не слишком ," в чужих потьмах, и лета мои не ",835,842,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
LYs6NgRrEe2paEsugBoJnw,потьмах,Dated: darkness,['register/style'],овая не слишком фурычит в чужих ,", и лета мои не для птичьего зре",851,858,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
QB4YXgg-Ee2OgKvao8hECA,птичьего зрения,"Not all birds can boast a sharp sight. Usually the parallel is made with the falcon's or eagle's eye (""sokolinoe / orlinoe zrenie""). Once again, birds in general play a role in Ilya's comprehension of his own reality.","['explanatory', 'symbol']","ужих потьмах, и лета мои не для ",". Петру — что, он в полном поряд",878,893,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
QQGfzgRrEe274ANlH0xwfg,племяш,Colloquial: nephew,['register/style']," в полном порядке, а вот Павел, "," его, озабочен, 
письмо ему треу",942,948,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
LMWNyARvEe2rczegc_a0hA,письмо ему треугольное,"A letter folder up by a solider into a triangle without an envelope and mailed for free. During WWII, soldiers had to send mail this way due to shortages.",['explanatory'],"т Павел, племяш его, озабочен, 
", шлет. Прибывает турман их мохно,965,987,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
9e9u6ARrEe2wUt-79RW8VA,турман,A pigeon used to transport messages (homing pigeon),['explanatory'],ему треугольное шлет. Прибывает ," их мохноногий 
на постоялый дво",1004,1010,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
Q9GA2ARsEe2n_ktHYA6A5w,постоялый двор,"Historically, an inexpensive peasant hotel used for overnight lodgings and food. Also known as стоялый, постоялый, заезжий, выезжий двор, подворье, кабак, and корчма.","['explanatory', 'location', 'Russia']","бывает турман их мохноногий 
на ",", видит — Петр с отдельными стор",1029,1043,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
aBheWARsEe2_ZC8ANI8Z1Q,винище,A derogatory term for wine,['register/style'],тдельными сторожами охотничьими ," употребляет немилосердно, в ко́",1093,1099,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
lDMbEAg-Ee23up-JLMNXyg,немилосердно,Colloquial: a lot,"['language', 'register/style']", охотничьими винище употребляет ,", в ко́зны режется, песни затеял",1112,1124,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
nzRGQARsEe2XEas2fkO2iA,ко́зны режется,Bones (бабки) — a game in which players throw dice a predetermined number of times and compare their totals,['explanatory'],"ище употребляет немилосердно, в ",", песни затеял шуметь. Турман Пе",1128,1142,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
t_eUrARsEe2-NJefUewnBg,затеял,"Colloquial: to take up, start",['register/style'],"сердно, в ко́зны режется, песни ", шуметь. Турман Петра в темя клю,1150,1156,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
hUjFCgRvEe267VNoT6DCFg,Турман Петра в темя клюет,"According to Ostanin, a reference to Alexander Pushkin's ""Tale of the Golden Cockerel"": ""Встрепенулся, клюнул в темя"" (Ostanin 34). Read the original [here](https://www.culture.ru/poems/4443/skazka-o-zolotom-petushke). Read a translation [here](https://www.goldencockerel.com/en-us/about-us/how-we-got-the-name.html).",['intertextuality'],"ы режется, песни затеял шуметь. "," — приговаривает: ты, 
Петр, пит",1165,1190,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
AfO8VARwEe2_bzOm8TmcnA,"ты, 
Петр, пить пей, да дело разумей","According to Ostanin, a reference to Ivan Krylov's 1808 fable ""Musicians"": ""А я скажу: по мне уж лучше пей, / Да дело разумей"" (Ostanin 34). Read the original and an English translation [here](https://ruverses.com/ivan-krylov/the-musicians/8910/).",['intertextuality'],а в темя клюет — приговаривает: ,". Петр письмо берет, распечатыва",1208,1244,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
BMNxDARtEe2QHR_f1Y4Vsw,дрозжи,"A misspelling of дрожжи (yeast)As Mario Caramitti noted in his doctoral dissertation (2001), Krylobyl represents an hypostasis of the poet Drozhzhin (recalled here through the misspelled ""yeast""), the first Russian translator of Rilke, who lived on an island later on submerged by the Volga, situated in front of the little house Sokolov lived in during his time passed at Bezborodovo. ","['language', 'character', 'setting', 'intertextuality']","дя Петь, там написано, дорогой, "," 
я уже не надеюсь, что привезеш",1340,1346,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
Z05-6ARtEe26309OPgnLJg,на продувное фуфу,"на фуфу — colloquial: carelessly, any which way","['register/style', 'phraseologism']", отрыве от наших мест ты не жил ," и про 
азбуку мечтал дерзновенн",1448,1465,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
ROHWDARtEe262yPZ9CE0TQ,продувное,Colloquial: cunning craft,['register/style'],рыве от наших мест ты не жил на ," фуфу и про 
азбуку мечтал дерзн",1451,1460,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
d4viyARtEe264QfvUqkd2A,кубарэ,"Unusual (and mockingly foreign) word. It may derive from the word ""kubar'"", informally used by students of the naval academy to define a ship cabin. Необычное (и мнимо-иностранное) слово, наверное от разговорного морского термина ""кубарь"", каюта.","['foreign', 'neologism']",новенно. Плачется слезно Петр в ," товарищам: помогите советом, уж",1523,1529,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
q0rchgRtEe2wV6_zOG1Z3A,Городнище,"The main setting of the novel: a fictional town on the banks of the Volga River. Also called Gorodnishchi. Derived from the words for town (*gorod*) and beggar (*nishchii*). It is the ""town of beggars.""",['location'],"м, уж гибну я. Послан Павелом в "," 
не то покупать, не то продават",1588,1597,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
t6scogRtEe2fFWcvo3qbZQ,"покупать, не то продавать",An echo of the beginning of the chapter,['sound play'],"слан Павелом в Городнище 
не то ",", знаю только — по смерть меня к",1605,1630,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
MCZ7_gRuEe2oBJNzBUnl_g,дрозжей,A misspelling of дрожжи (yeast),['language'],"г, а тем 
более необходимых ему ",". Теребит с того берега: мол, ка",1751,1758,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
IeQkXgbDEe2s-EOczRQZUA,с того берега,"In the world of *Between Dog and Wolf*, the exact and relative locations of various places along the Volga remain ambiguous, much as time and character shift constantly. An echo of ""с которого бы берега ни соблюдать"" (regardless from which side [shore] you look) (R178/E50).","['location', 'intratextuality']",еобходимых ему дрозжей. Теребит ,": мол, как 
хочешь, а от пустопо",1768,1781,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
Y2lCaAa7Ee2kh4v8JB8hpA,мол,Colloquial: he says,['register/style'],дрозжей. Теребит с того берега: ,", как 
хочешь, а от пустопорожне",1783,1786,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
mqL-QAa7Ee2kgPvf6Ma63w,дрозжей,A misspelling of дрожжи (yeast),['language'],"его возвращения воздержись. Ну, "," 
браговарных, возможно, у кого-",1849,1856,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
AW2IXAa8Ee2hq7fwupmXfQ,изъять,Bookish: to take out,['register/style'],о-нибудь и удастся заимообразно ,", а вот жэ-букву где раздобыть, ",1918,1924,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
SelLKga8Ee2dNs_7OTMA9A,жэ-букву,"A reference to the missing letter *zhe* in the word дрожжи (yeast), misspelled as дрозжи. Boguslawski suggests that the ""significance of the letter Zh depends less on its being a part of the word drozzhi (yeast; pronounced drozhzhi), but more on being the initial letter of the words zhizn’ (life) and zhenshchina (woman), two mysteries the narrators try to clarify and explain throughout the novel"" (Boguslawski, ""Annotations"" 238).",['language'],"стся заимообразно изъять, а вот "," где раздобыть, заколодило нам н",1932,1940,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
N212sAa8Ee2h_7NNVM7I8w,заколодило,"Low style/colloquial: to delay, stump, cause a delay",['register/style'],", а вот жэ-букву где раздобыть, "," нам на ней, просветителям. Гэ-б",1956,1966,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
dyZkSgbDEe2xH-sNPGffLw,просветителям,"In this discussion of various letters, Ilya alludes to Saints Cyril and Methodius, known as the ""славянские просветители"" (Slavic enlighteners).",['explanatory'],"здобыть, заколодило нам на ней, ",". Гэ-букву, Петр делится, выдума",1979,1992,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
nQCmlga8Ee2Vy8_6MX3uxA,виселицы,Pyotr suggests that the letter г (g) resembles the gallows. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/f/f4/Tombstone_courthouse_gallows.jpg),"['explanatory', 'language']","без хлопот, она у нас наподобие ",", читай, потому что на виселице ",2059,2067,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы
