Id,highlighted,text,ru_trans,tags,prefix,suffix,position_start,position_end,start_container,end_container,chapter,ch
OKcUGpAiEe2qtevffd9NVg,Ильи Петрикеича,,,"['character', 'expand']","     

      
        
  14. От ","
  
  Клеши, мичманка с  крабом,",625,640,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],14. От Ильи Петрикеича,14_ru
W5AIYJAiEe2yq8MxKWiZgw,Клеши,"Bellbottoms, a style of pants popular in the 1960s. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/7/71/Redhead_Beach_Bell_Bottoms.jpg) Clothing motif.",,['motif']," 
  14. От Ильи Петрикеича
  
  ",", мичманка с  крабом, бушлат в  ",646,651,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],14. От Ильи Петрикеича,14_ru
hmLMRJAiEe2ItMMYtUhwcA,мичманка,The peaked hat of a sailor. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/8/84/US_Navy_091007-N-8273J-012_Hats_from_representatives_of_more_than_100_nations_attending_the_19th_Biennial_International_Sea_Power_Symposium_in_Newport%2C_R.I._are_on_a_table_near_the_auditorium.jpg) Clothing motif.,,['motif']," От Ильи Петрикеича
  
  Клеши, "," с  крабом, бушлат в  якорях  — ",653,661,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],14. От Ильи Петрикеича,14_ru
jZww1JKLEe2XnfdVK3pNrQ,с  к,error: extra space here,,['error'],"Петрикеича
  
  Клеши, мичманка ","рабом, бушлат в  якорях  — карти",662,666,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],14. От Ильи Петрикеича,14_ru
6d2Q7JAiEe2bs0vQbIScQQ,бушлат,A pea jacket or sailor jacket. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/2/22/US_Navy_p_coat_wiki.jpg) Worn by the sailor who visits Orina in chapter 10 (R220/E123).,,"['intratextuality', 'motif']","  
  Клеши, мичманка с  крабом, "," в  якорях  — картинка. 
И предс",673,679,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],14. От Ильи Петрикеича,14_ru
eQHThpKLEe2u5HvyyqrbkQ,в  я,error: extra space here,,['error'],"еши, мичманка с  крабом, бушлат ","корях  — картинка. 
И представля",680,684,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],14. От Ильи Петрикеича,14_ru
iVS8ipKLEe2p5IfHphW5Xg,х  —,error: extra space here,,['error'],"манка с  крабом, бушлат в  якоря"," картинка. 
И представляется: ма",688,692,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],14. От Ильи Петрикеича,14_ru
vmzjtKGDEe2LW3PqRwEQgA,"Альбатросов, списан без рук","Such a name is resonant with two famous poetic ""albatrosses"": Baudelaire's (read it [here](https://fleursdumal.org/poem/200)) and Coleridge's from *The Rime of the Ancient Mariner* (read it [here](https://www.poetryfoundation.org/poems/43997/the-rime-of-the-ancient-mariner-text-of-1834)). The opening of this chapter draws a direct continuation with the ending of ch. 12 (also by using the same words: ""матрос Альбатросов, и списан вчистую"").",,"['character', 'intratextuality', 'expand', 'structure', 'intertextuality']","инка. 
И представляется: матрос "," с сухогруза 
на бал сухопутной ",729,756,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],14. От Ильи Петрикеича,14_ru
4bPOHqGDEe2e7tM5RRyYkw,"с сухогруза 
на бал","Set expression: с корабля на бал (to dash from one place to another, a sudden shift in conditions). Beside the specific use of this set expression in this sea scene, it is also worth noting that this character dashes from his sailor world (sukhogruz) to mainland life (sukhoputnaia uchast') through linguistic play.",,"['phraseologism', 'language']","рос Альбатросов, списан без рук ", сухопутной участи; а сам-то с к,757,776,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],14. От Ильи Петрикеича,14_ru
LUUY3JAjEe2x6x8wNA-fsA,сухогруза,Dry cargo ship. Boat motif.,,['motif'],"с Альбатросов, списан без рук с "," 
на бал сухопутной участи; а са",759,768,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],14. От Ильи Петрикеича,14_ru
