Id,highlighted,text,ru_trans,tags,prefix,suffix,highlighted_html,suffix_html,position_start,position_end,start_container,end_container,chapter,ch_num,lang,overlap,img_src,alt_text_eng,dog_sound
EMlJqK0zEe2XiRdSVlAvFA,01,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will
make its language play come 'alive'. [...] The unmistakable focus in Il'ia's *skaz* on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80).","Несмотря на многочисленные странности, *Между собакой и волком* придерживается строгой, формальной структуры: восемь прозаических глав от лица странствующего точильщика; пять прозаических глав, касающихся жизни и мыслям собаковода Якова Паламахтерова; четыре главы, состоящие из 36 стихотворений, написанных Яковом; и финальная глава, представляющая собой один, отдельный стих, вновь написанный Яковом. Как пишет А. Богуславский. Главы следуют следующему шаблону: ABCABACABACABACBAC (Boguslawski ""How Sokolov's"" 205). Е. Кравченко утверждает, что, в отличие от склонности к визуализации в главах, связанных с Яковом, главы Ильи “теряют тяжесть слога при восприятии на слух, что позволяет языку ‘ожить’. [...] Неоспоримый фокус “сказа” Ильи на устном творчестве — через бесчисленные аллюзии к сказкам и басням — и устной речи, особенно ее воспринимаемым на слух качествам, отображенным через парономазию, противопоставляется литературности и образности прозаическим и стихотворным фрагментам (Kravchenko *The Prose* 80). Она описывает структуру романа следующим образом: “Структура романа, за исключением главы 18 […], образует систему кривых зеркал. Первая и последняя главы — сказ, вторая и предпоследняя — проза, третья и пятнадцатая — стихи, затем вновь две главы, отражающие повествование Ильи (4 и 14), повествование в прозе (5 и 13), Ильи (6 и 12), в стихах (7 и 11) и снова Ильи (8 и 10). Структура складывается посередине, на девятой главе, написанной прозой, образуя при этом ‘переплет’, скрепляющий книгу” (Kravchenko *The Prose* 53–54).",['structure'],"     
      

      
        
  ",". Заитильщина
  
  Месяц ясен, з",01,". Заитильщина</h1>
  ",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],01. ЗАИТИЛЫЦИНА,01,ru,none,[],[],False
ofnjNEwpEe6st8dOEsHUBg,01,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will
make its language play come 'alive'. [...] The unmistakable focus in Il'ia's *skaz* on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80).",,['structure'],"     
      

      
        
  ",". Discords Beyond the Itil
  
  ",01,". Discords Beyond the Itil</h1>
",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],01. DISCORDS BEYOND THE ITIL,01,en,none,[],[],False
FM2ORtIyEe27vNcZR1adrw,02,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).","Несмотря на многочисленные странности, ""Между собакой и волком"" придерживается строгой, формальной структуры: восемь прозаических глав от лица странствующего точильщика; пять прозаических глав, касающихся жизни и мыслям собаковода Якова Паламахтерова; четыре главы, состоящие из 36 стихотворений, написанных Яковом; и финальная глава, представляющая собой один, отдельных стих, вновь написанный Яковом. Как пишет А. Богуславский, главы следуют следующему шаблону: ABCABACABACABACBAC (""How Sokolov's"" 205).",['structure'],"     
      

      
        
  ",". Ловчая повесть
  
  Жить; знат",02,". Ловчая повесть</h1>
  ",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],02. Ловчая повесть,02,ru,none,[],[],False
h1foTFLgEe6WetsopVMESA,02,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).",,['structure'],"     
      

      
        
  ",". The Trapper's Tale
  
  To liv",02,". The Trapper's Tale</h1>
  ",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],02. The Trapper's Tale,02,en,none,[],[],False
MVDGWtIyEe25hoeZ5TaY3A,03,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Sergei Orobii suggests that ""in the novel *Between Dog and Wolf*, the principle that will become the cornerstone for determining the root affiliation of Sokolov's texts of the 2000s is mastered: prose is replaced with ease by poetry, or even merges with it. Such a narrative maneuver, of course, originates not in the plot, but in the field of language: considering that the Russian literary language has 'worn out' from constant use and has lost all expressiveness, the writer tries to get away from the usual linguistic norms and constructs a unique style, which becomes the driving force of the narrative. Here, the boundaries between replicas, between direct and indirect speech, between chatter and quotation are fundamentally blurred"" (299).","Несмотря на многочисленные странности, ""Между собакой и волком"" придерживается строгой, формальной структуры: восемь прозаических глав от лица странствующего точильщика; пять прозаических глав, касающихся жизни и мыслям собаковода Якова Паламахтерова; четыре главы, состоящие из 36 стихотворений, написанных Яковом; и финальная глава, представляющая собой один, отдельных стих, вновь написанный Яковом. Как пишет А. Богуславский, главы следуют следующему шаблону: ABCABACABACABACBAC (""How Sokolov's"" 205). С. Оробий предполагает, что ""в романе 'Между собакой и волком' освоен принцип, который впоследсствие станет краеугольным каменем при определении сущноти текстов Соколова, написанных в 2000-х: проза с легкостью заменяется поэзией, а то и сливается и ней. Такой повествовательный маневр, безусловно, происходит не из сюжета, а из языковой области: считая что русский литературный язык исчерпал себя от его постоянного употребления и утратил былую выразительность, автор пытается уйти от привычных языковых норм и выстраивает уникальный стиль, позже становящийся движущей силой повествования. Здесь границы между диалогами, между прямой и косвенной речью, между разговорами и цитатами оказываются размытыми на фундаментальном уровне"" (299).
",['structure'],"     
      

      
        
  ",". Записки запойного охотника
  
",03,. Записки запойного охотника</h1,618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],03. Записки запойного охотника,03,ru,none,[],[],False
CBteDE5DEe65wPtVB6NNIg,03,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Serge*i Orobii suggests that ""in the novel *Between Dog and Wolf, the principle that will become the cornerstone for determining the root affiliation of Sokolov's texts of the 2000s is mastered: prose is replaced with ease by poetry, or even merges with it. Such a narrative maneuver, of course, originates not in the plot, but in the field of language: considering that the Russian literary language has 'worn out' from constant use and has lost all expressiveness, the writer tries to get away from the usual linguistic norms and constructs a unique style, which becomes the driving force of the narrative. Here, the boundaries between replicas, between direct and indirect speech, between chatter and quotation are fundamentally blurred"" (299).",,['structure'],"     
      

      
        
  ",". Notes of a Binging Hunter
  
 ",03,. Notes of a Binging Hunter</h1>,618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],03. Notes of a Binging Hunter,03,en,none,[],[],False
zrxePNIxEe25ZRucunLjZw,04,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's skaz on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80).","Несмотря на многочисленные странности, ""Между собакой и волком"" придерживается строгой, формальной структуры: восемь прозаических глав от лица странствующего точильщика; пять прозаических глав, касающихся жизни и мыслям собаковода Якова Паламахтерова; четыре главы, состоящие из 36 стихотворений, написанных Яковом; и финальная глава, представляющая собой один, отдельных стих, вновь написанный Яковом. Как пишет А. Богуславский, главы следуют следующему шаблону: ABCABACABACABACBAC (""How Sokolov's"" 205). Е. Кравченко утверждает, что, в отличие от склонности к визуализации в главах, связанных с Яковом, главы Ильи “теряют тяжесть слога при восприятии на слух, что позволяет языку ‘ожить’. […] Неоспоримый фокус “сказа” Ильи на устном творчестве — через бесчисленные аллюзии к сказкам и басням — и устной речи, особенно ее воспринимаемым на слух качествам, отображенным через парономазию, противопоставляется литературности и образности прозаическим и стихотворным фрагментам (""The Prose"" 80). ",['structure'],"     
      

      
        
  ",". Заитильщина Дзындзырэлы
  
  Э",04,". Заитильщина Дзындзырэлы</h1>
 ",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],04. Заитильщина Дзындзырэлы,04,ru,none,[],[],False
_DKx2licEe6EGWvDW5MJ_g,04,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205). Elena Kravchenko argues that, in opposition to the visual leanings of the chapters associated with Yakov, Ilya's chapters ""may become less impenetrable if received aurally, which will make its language play come 'alive'. […] The unmistakable focus in Il'ia's skaz on oral culture — through numerous allusions to fairy tales and epics — and language, especially its aural qualities illuminated through paronomasia, is juxtaposed with the literariness and visuality of the prose and verse fragments"" (*The Prose* 80).",,['structure'],"     
      

      
        
  ",. Dzyndzyrela’s Discords Beyond ,04,. Dzyndzyrela’s Discords Beyond ,618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],04. Dzyndzyrela’s Discords Beyond the Itil,04,en,none,[],[],False
YyczWNIyEe2Nadvau0vyIg,05,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).","Несмотря на многочисленные странности, ""Между собакой и волком"" придерживается строгой, формальной структуры: восемь прозаических глав от лица странствующего точильщика; пять прозаических глав, касающихся жизни и мыслям собаковода Якова Паламахтерова; четыре главы, состоящие из 36 стихотворений, написанных Яковом; и финальная глава, представляющая собой один, отдельных стих, вновь написанный Яковом. Как пишет А. Богуславский, главы следуют следующему шаблону: ABCABACABACABACBAC (""How Sokolov's"" 205). ",['structure'],"     
      

      
        
  ",". Ловчая повесть, или картинки с",05,". Ловчая повесть, или картинки с",618,620,/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],"05. Ловчая повесть, или картинки с выставки",05,ru,full,[],[],False
DsoPVlDbEe6YMluj_jFwHg,05,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).",,['structure'],"     
      

      
        
  ",. The Trapper's Tale or Pictures,05,. The Trapper's Tale or Pictures,618,620,/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/h1[1]/hypothesis-highlight[1],05. The Trapper's Tale or Pictures from an Exhibition,05,en,full,[],[],False
